EPOCH                             DENSITY   TEMPERATURE        VR_RTN        VT_RTN        VN_RTN
dd-mm-yyyy hh:mm:ss.mil.mic         cm^-3            eV          km/s          km/s          km/s
06-09-2022 00:07:05.550.898       2.62222       57.6562       495.694      -16.9045      -17.0783
06-09-2022 00:07:09.550.905       4.51699       132.219       387.779      -7.59089       87.5335
06-09-2022 00:07:13.550.912       2.60963       42.4425       515.568      -22.4488      -11.2891
06-09-2022 00:07:17.550.919       2.51286       40.6398       522.159      -24.2567      -12.3839
06-09-2022 00:07:21.550.926       2.45649       44.0142       522.217      -21.6791      -12.1798
06-09-2022 00:07:25.550.933       2.43973       35.5248       520.784      -27.0766      -7.50776
06-09-2022 00:07:29.550.940       2.75066       63.8582       512.595       2.44156      -37.5513
06-09-2022 00:07:33.550.947       2.95043       79.2259       474.225      -17.4921      -29.3951
06-09-2022 00:07:37.550.954       2.32575       32.6685       523.732      -36.4188      -15.2426
06-09-2022 00:07:41.550.961       2.33591       36.1341       525.029      -30.0664      -16.1766
06-09-2022 00:07:45.550.967       2.65182       40.9228       523.990      -19.1294      -18.3341
06-09-2022 00:07:49.550.974       2.62851       41.4425       525.379      -24.2293      -13.4415
06-09-2022 00:07:53.550.981       2.92663       68.6395       473.951      -13.9402      -28.5822
06-09-2022 00:07:57.550.988       3.86713       134.865       425.489      -8.93692       60.1363
06-09-2022 00:08:01.550.995       2.64144       45.8464       517.505      -14.8595      -18.4651
06-09-2022 00:08:05.551.002       2.42249       35.1047       524.810      -20.4720      -11.4137
06-09-2022 00:08:09.551.009       2.46915       45.6107       511.769      -16.0980      -23.6848
06-09-2022 00:08:13.551.016       2.76974       60.1296       501.420      -6.94193      -27.9542
06-09-2022 00:08:17.551.023       2.54440       45.7709       520.167      -17.2212      -23.3348
06-09-2022 00:08:21.551.030       2.75252       57.2325       502.644      -7.34329      -16.7965
06-09-2022 00:08:25.551.037       2.69983       42.2744       525.948      -10.4588      -17.7195
06-09-2022 00:08:29.551.044       2.52793       36.3761       527.479      -12.8665      -21.9529
06-09-2022 00:08:33.551.051       2.66165       38.7384       517.251      -10.3470      -17.2861
06-09-2022 00:08:37.551.058       2.57128       39.3286       524.567      -15.6777      -22.5941
06-09-2022 00:08:41.551.065       2.34719       33.2259       523.569      -10.6196      -23.5855
06-09-2022 00:08:45.551.072       2.33539       33.7459       524.527       2.07656      -15.9885
06-09-2022 00:08:49.551.079       2.97801       53.4596       512.033       7.53929      -15.1041
06-09-2022 00:08:53.551.086       2.56304       50.9503       516.068      -7.67041      -27.2392
06-09-2022 00:08:57.551.093       2.58294       37.4074       516.128      -11.3945      -16.5724
06-09-2022 00:09:01.551.100       2.55382       40.8125       527.289      -16.5048      -7.33700
